"","Code","Name","IPO_Date","Forty4","Days","FirstHslRe","PE","APS","Rate"
"340","603028.SH","赛福天","2016-03-31",TRUE,18,16.0890728380309,22.94,2.04,0.0612
"341","300474.SZ","景嘉微","2016-03-31",TRUE,20,23.6883043416775,21.25,5.9,0.0484
"342","002791.SZ","坚朗五金","2016-03-29",TRUE,7,12.7801786228753,21.68,10.21,0.0447
"343","002792.SZ","通宇通讯","2016-03-28",TRUE,10,17.8571428571429,9.7361,10.74,0.0364
"344","300506.SZ","名家汇","2016-03-24",TRUE,15,19.2307692307692,22.96,4.03,0.0484
"345","603861.SH","白云电器","2016-03-22",TRUE,9,9.98271830842767,22.97,4.25,0.074
"346","300484.SZ","蓝海华腾","2016-03-22",TRUE,20,24.975984630163,19.83,8.42,0.0237
"347","601020.SH","华钰矿业","2016-03-16",TRUE,10,20.1550387596898,22.97,2.71,0.0713
"348","300505.SZ","川金诺","2016-03-15",TRUE,11,15.4635761589405,22.98,6.03,0.0457
"349","002789.SZ","建艺集团","2016-03-11",TRUE,7,10.1759486691062,22.99,12.06,0.037
"350","603919.SH","金徽酒","2016-03-10",TRUE,7,11.7847101803061,18.47,5.28,0.0742
"351","603520.SH","司太立","2016-03-09",TRUE,10,15.2276534186082,22.98,6.25,0.0487
"352","300503.SZ","昊志机电","2016-03-09",TRUE,14,18.1106925528832,22.98,6.22,0.0471
"353","002790.SZ","瑞尔特","2016-03-08",TRUE,8,7.67165324127349,19.78,7.7,0.0468
"354","603027.SH","千禾味业","2016-03-07",TRUE,9,10.3640367923306,22.98,5.04,0.0533
"355","300502.SZ","新易盛","2016-03-03",TRUE,11,20,18.58,11.47,0.0267
"356","603608.SH","天创时尚","2016-02-18",TRUE,8,11.9419281095928,22.98,5.12,0.0769
"357","002788.SZ","鹭燕医药","2016-02-18",TRUE,8,18.4417975717822,22.97,9.69,0.045
"358","601900.SH","南方传媒","2016-02-15",TRUE,10,12.460209856166,22.97,4.39,0.1329
"359","603377.SH","东方时尚","2016-02-05",TRUE,10,3.79541210584645,21.74,3.35,0.0734
"360","300500.SZ","启迪设计","2016-02-04",TRUE,11,19.6437925615504,22.98,9.79,0.023
"361","300501.SZ","海顺新材","2016-02-04",TRUE,11,20.2727272727271,22.99,9.73,0.0222
"362","300499.SZ","高澜股份","2016-02-02",TRUE,13,12.153689122193,22.97,7.72,0.0231
"363","002778.SZ","高科石化","2016-01-06",TRUE,14,20.4587155963303,22.97,6.18,0.1924
"364","603299.SH","井神股份","2015-12-31",TRUE,14,17.6125244618395,22.92,3.47,0.2472
"365","603778.SH","乾景园林","2015-12-31",TRUE,10,14.5985401459854,19.57,9.72,0.1714
"366","002777.SZ","久远银海","2015-12-31",TRUE,17,20.6185567010309,17.72,5.28,0.1378
"367","002787.SZ","华源控股","2015-12-31",TRUE,10,19.6637059382156,22.86,6.15,0.2083
"368","300490.SZ","华自科技","2015-12-31",TRUE,14,21.3675213675214,22.98,5.29,0.1691
"369","300491.SZ","通合科技","2015-12-31",TRUE,15,57.1428571428571,22.98,4.61,0.1751
"370","300494.SZ","盛天网络","2015-12-31",TRUE,14,42.8571428571435,20.85,6.61,0.1854
